#Accession	ID	Type	Description	Class	subclass
RF03676	MIR5148	Gene;miRNA	MIR5148 microRNA precursor family	miRNA	miRNA
RF03677	mir-1304	Gene;miRNA	mir-1304 microRNA precursor family	miRNA	miRNA
RF03678	mir-3956	Gene;miRNA	mir-3956 microRNA precursor family	miRNA	miRNA
RF03679	MIR2084	Gene;miRNA	MIR2084 microRNA precursor family	miRNA	miRNA
RF03680	mir-9465	Gene;miRNA	mir-9465 microRNA precursor family	miRNA	miRNA
RF03681	mir-1295	Gene;miRNA	mir-1295 microRNA precursor family	miRNA	miRNA
RF03682	mir-3912	Gene;miRNA	mir-3912 microRNA precursor family	miRNA	miRNA
RF03683	mir-462	Gene;miRNA	mir-462 microRNA precursor family	miRNA	miRNA
RF03684	mir-1990	Gene;miRNA	mir-1990 microRNA precursor family	miRNA	miRNA
RF03685	MIR9677	Gene;miRNA	MIR9677 microRNA precursor family	miRNA	miRNA
RF03686	mir-9424	Gene;miRNA	mir-9424 microRNA precursor family	miRNA	miRNA
RF03687	mir-2011	Gene;miRNA	mir-2011 microRNA precursor family	miRNA	miRNA
RF03688	mir-3045	Gene;miRNA	mir-3045 microRNA precursor family	miRNA	miRNA
RF03689	mir-5892	Gene;miRNA	mir-5892 microRNA precursor family	miRNA	miRNA
RF03690	mir-9058	Gene;miRNA	mir-9058 microRNA precursor family	miRNA	miRNA
RF03691	mir-2765	Gene;miRNA	mir-2765 microRNA precursor family	miRNA	miRNA
